file,slide,issue_type,detail
郭立华2026秋数学PPT\第五章\5.1.pptx,4,object_out_of_bounds,"x=-762000, y=5334000, cx=2286000, cy=2286000"
郭立华2026秋数学PPT\第五章\5.1.pptx,6,object_out_of_bounds,"x=10414000, y=-762000, cx=2794000, cy=2794000"
郭立华2026秋数学PPT\第五章\5.1.pptx,6,object_out_of_bounds,"x=-1016000, y=5334000, cx=2286000, cy=2286000"
郭立华2026秋数学PPT\第五章\5.1.pptx,7,object_out_of_bounds,"x=9525000, y=-1270000, cx=3810000, cy=3810000"
郭立华2026秋数学PPT\第五章\5.1.pptx,7,object_out_of_bounds,"x=-635000, y=5080000, cx=2540000, cy=2540000"
郭立华2026秋数学PPT\第五章\5.1.pptx,8,object_out_of_bounds,"x=9525000, y=-1270000, cx=3810000, cy=3810000"
郭立华2026秋数学PPT\第五章\5.1.pptx,8,object_out_of_bounds,"x=-1016000, y=5080000, cx=2540000, cy=2540000"
郭立华2026秋数学PPT\第五章\5.1.pptx,9,object_out_of_bounds,"x=10160000, y=-1016000, cx=3175000, cy=3175000"
郭立华2026秋数学PPT\第五章\5.1.pptx,9,object_out_of_bounds,"x=-1016000, y=5080000, cx=2540000, cy=2540000"
郭立华2026秋数学PPT\第五章\5.1.pptx,10,object_out_of_bounds,"x=10160000, y=-635000, cx=2540000, cy=2540000"
郭立华2026秋数学PPT\第五章\5.1.pptx,10,object_out_of_bounds,"x=-508000, y=5334000, cx=1905000, cy=1905000"
郭立华2026秋数学PPT\第五章\5.1.pptx,11,object_out_of_bounds,"x=9525000, y=4445000, cx=3810000, cy=3810000"
郭立华2026秋数学PPT\第五章\5.1.pptx,11,object_out_of_bounds,"x=-1016000, y=-1016000, cx=2540000, cy=2540000"
郭立华2026秋数学PPT\第五章\5.2.pptx,7,forbidden_latex_dollar,典型例题解析 01 含分母的一元一次方程 题目：求解方程 $\frac{x+1}{2} - 1 = 2 + \frac{2-x}{4}$ ①
郭立华2026秋数学PPT\第五章\5.2.pptx,7,forbidden_latex_frac,典型例题解析 01 含分母的一元一次方程 题目：求解方程 $\frac{x+1}{2} - 1 = 2 + \frac{2-x}{4}$ ① 去分母：
郭立华2026秋数学PPT\第六章\6.1.pptx,1,object_out_of_bounds,"x=-381000, y=-381000, cx=1143000, cy=1143000"
郭立华2026秋数学PPT\第六章\6.1.pptx,1,object_out_of_bounds,"x=11176000, y=5715000, cx=1397000, cy=1397000"
郭立华2026秋数学PPT\第六章\6.2.pptx,7,forbidden_latex_frac,\(AD\) 的长度。 计算推导过程： 1. 中点性质：\(AC = CB = \frac{1}{2}AB = \frac{1}{2} \times 10 = 5\) c
郭立华2026秋数学PPT\第六章\6.2.pptx,7,forbidden_latex_times,\(AC = CB = \frac{1}{2}AB = \frac{1}{2} \times 10 = 5\) cm；  2. 再次应用：\(CD = \frac{1}{2
郭立华2026秋数学PPT\第六章\6.2.pptx,7,forbidden_latex_inline_open,学以致用，挑战例题 例题 01 · 尺规作图 题目：已知线段 \(a\)，\(b\)，求作一条线段，使其长度等于 \(2a - b\)。 作图核心
郭立华2026秋数学PPT\第六章\6.2.pptx,7,forbidden_latex_inline_close,学以致用，挑战例题 例题 01 · 尺规作图 题目：已知线段 \(a\)，\(b\)，求作一条线段，使其长度等于 \(2a - b\)。 作图核心步骤：
郭立华2026秋数学PPT\第六章\6.3.pptx,1,object_out_of_bounds,"x=10922000, y=-254000, cx=1016000, cy=1016000"
郭立华2026秋数学PPT\第六章\6.3.pptx,1,object_out_of_bounds,"x=-508000, y=5588000, cx=1524000, cy=1524000"
郭立华2026秋数学PPT\第六章\6.4.pptx,1,forbidden_张老师,综合与实践：  设计我们的田径运动会 七年级数学上册 · 6.4 主讲人：张老师 | 初中数学教研组
郭立华2026秋数学PPT\第四章\4.1.pptx,5,forbidden_markdown_backtick,单项式的“组合”——多项式 01 思考与联系 观察下列代数式：  `2n - 10`、`x² + 2x + 8`、`2a + 3b`   它们的共同
郭立华2026秋数学PPT\第四章\4.2.pptx,5,forbidden_latex_inline_open,乘法分配律的逆向运用：将相同的因式（字母部分）提取出来，对系数进行加减运算，即 \(ab + ac = a(b+c)\)。 03 运算法则 口诀记忆： 系数相加，字
郭立华2026秋数学PPT\第四章\4.2.pptx,5,forbidden_latex_inline_close,字母部分）提取出来，对系数进行加减运算，即 \(ab + ac = a(b+c)\)。 03 运算法则 口诀记忆： 系数相加，字母不变。 即：同类项的系数相加减，所
郭立华2026秋数学PPT\第四章\4.2.pptx,11,forbidden_latex_dollar,例题2：计算 01 整式的加减运算 题目：计算 $(8a - 7b) - (4a - 5b)$ 解：原式 = 8a - 7b - 
