lesson_id,chapter,lesson_title,lesson_type,source_yaml,source_tex,output_pdf,page_count,total_minutes,figure_count,exercise_count,status,sha256
C02-L07,第二章 有理数的运算,有理数除法,概念形成课,output/lesson_plans_final/yaml/C02-L07_有理数除法.yml,output/lesson_plans_final/tex/C02-L07_有理数除法_教案_v2.tex,output/lesson_plans_final/pdf/C02-L07_有理数除法_教案_v2.pdf,4,45,0,13,generated,BEC3745AAD1702BEDE1EF9AB20E609FB26B96EF6B3DA056ADE878D769CF72805
C02-L08,第二章 有理数的运算,有理数乘除混合运算,运算技能课,output/lesson_plans_final/yaml/C02-L08_有理数乘除混合运算.yml,output/lesson_plans_final/tex/C02-L08_有理数乘除混合运算_教案_v2.tex,output/lesson_plans_final/pdf/C02-L08_有理数乘除混合运算_教案_v2.pdf,4,45,0,13,generated,6D47E6C624F71DE77E42BF914B73C4BB995F3A2FE0541DBE1C9FD16D1E2B3CAE
C02-L09,第二章 有理数的运算,有理数的乘方,运算技能课,output/lesson_plans_final/yaml/C02-L09_有理数的乘方.yml,output/lesson_plans_final/tex/C02-L09_有理数的乘方_教案_v2.tex,output/lesson_plans_final/pdf/C02-L09_有理数的乘方_教案_v2.pdf,4,45,0,13,generated,3F5BA58A2689B0E9AFD45344B57A4612E0CD5DA1D3D2B61EC0A46D448DDA1E5D
C02-L10,第二章 有理数的运算,科学记数法,运算技能课,output/lesson_plans_final/yaml/C02-L10_科学记数法.yml,output/lesson_plans_final/tex/C02-L10_科学记数法_教案_v2.tex,output/lesson_plans_final/pdf/C02-L10_科学记数法_教案_v2.pdf,4,45,0,13,generated,177C013A4C846CAFDFFDF299B75238E3DD12C83D6ACEAA01E9CDB05365D82A67
C02-L11,第二章 有理数的运算,近似数,运算技能课,output/lesson_plans_final/yaml/C02-L11_近似数.yml,output/lesson_plans_final/tex/C02-L11_近似数_教案_v2.tex,output/lesson_plans_final/pdf/C02-L11_近似数_教案_v2.pdf,4,45,0,13,generated,860CF4043D4D1D13C2E2EC16B702B57872698F6F52C253D4E86334571711EDF7
C02-L12,第二章 有理数的运算,有理数运算数学活动,数学活动课,output/lesson_plans_final/yaml/C02-L12_有理数运算数学活动.yml,output/lesson_plans_final/tex/C02-L12_有理数运算数学活动_教案_v2.tex,output/lesson_plans_final/pdf/C02-L12_有理数运算数学活动_教案_v2.pdf,4,45,0,13,generated,1D925C89823CC5BFA0F055FB326A4A812948ED7EF725AA253B69EE8915ABB917
C02-L13,第二章 有理数的运算,有理数运算章末小结与复习,章末复习课,output/lesson_plans_final/yaml/C02-L13_有理数运算章末小结与复习.yml,output/lesson_plans_final/tex/C02-L13_有理数运算章末小结与复习_教案_v2.tex,output/lesson_plans_final/pdf/C02-L13_有理数运算章末小结与复习_教案_v2.pdf,4,45,0,13,generated,62FFB4E13F496DF04E1B8EF1D50A271FDBBAAEE9C711B1A654EF1B661AB4ABDA
C02-L14,第二章 有理数的运算,进位制的认识与探究,综合实践课,output/lesson_plans_final/yaml/C02-L14_进位制的认识与探究.yml,output/lesson_plans_final/tex/C02-L14_进位制的认识与探究_教案_v2.tex,output/lesson_plans_final/pdf/C02-L14_进位制的认识与探究_教案_v2.pdf,4,45,1,13,generated,7E72EB07AD12226EC6950394C5D3E5552F8D1C621F7D4C86FAA847193788C585
C03-L01,第三章 代数式,用字母表示数与列代数式,概念形成课,output/lesson_plans_final/yaml/C03-L01_用字母表示数与列代数式.yml,output/lesson_plans_final/tex/C03-L01_用字母表示数与列代数式_教案_v2.tex,output/lesson_plans_final/pdf/C03-L01_用字母表示数与列代数式_教案_v2.pdf,4,45,0,13,generated,F364CB0BB540ECDDC1E37BB5587BFFA9424944D16878062F6B093BA33B5F1806
C03-L02,第三章 代数式,列代数式表示数量关系,概念形成课,output/lesson_plans_final/yaml/C03-L02_列代数式表示数量关系.yml,output/lesson_plans_final/tex/C03-L02_列代数式表示数量关系_教案_v2.tex,output/lesson_plans_final/pdf/C03-L02_列代数式表示数量关系_教案_v2.pdf,4,45,0,13,generated,4FCF8FD81D7393090E5790034D30889725BDAD5CB744DE556B560EA77F955E9C
C03-L03,第三章 代数式,代数式的值,运算技能课,output/lesson_plans_final/yaml/C03-L03_代数式的值.yml,output/lesson_plans_final/tex/C03-L03_代数式的值_教案_v2.tex,output/lesson_plans_final/pdf/C03-L03_代数式的值_教案_v2.pdf,4,45,0,13,generated,03586CCAFAA4CBFAA154AAC803FF6E304E1888D8963E6FB19F096E6E54C3DEFD
C03-L04,第三章 代数式,代数式数学活动,数学活动课,output/lesson_plans_final/yaml/C03-L04_代数式数学活动.yml,output/lesson_plans_final/tex/C03-L04_代数式数学活动_教案_v2.tex,output/lesson_plans_final/pdf/C03-L04_代数式数学活动_教案_v2.pdf,4,45,0,13,generated,D53C0B4C1A2DE1275E20B5996D16C87727870DDA7D58EAA7B057DE0F710160FB
C03-L05,第三章 代数式,代数式章末小结与复习,章末复习课,output/lesson_plans_final/yaml/C03-L05_代数式章末小结与复习.yml,output/lesson_plans_final/tex/C03-L05_代数式章末小结与复习_教案_v2.tex,output/lesson_plans_final/pdf/C03-L05_代数式章末小结与复习_教案_v2.pdf,4,45,0,13,generated,D5631CE558783E6F99483080B2FD789288EEB641D185037ABEB9725FD4514E9E
C04-L01,第四章 整式的加减,整式,概念形成课,output/lesson_plans_final/yaml/C04-L01_整式.yml,output/lesson_plans_final/tex/C04-L01_整式_教案_v2.tex,output/lesson_plans_final/pdf/C04-L01_整式_教案_v2.pdf,4,45,0,13,generated,2F0296C21E3094A12BE3CE138F7D86FE1D3AB4CBD7C031A98EBAA316D4096C5B
C04-L02,第四章 整式的加减,合并同类项,运算技能课,output/lesson_plans_final/yaml/C04-L02_合并同类项.yml,output/lesson_plans_final/tex/C04-L02_合并同类项_教案_v2.tex,output/lesson_plans_final/pdf/C04-L02_合并同类项_教案_v2.pdf,4,45,0,13,generated,039FD946AFF4C160DE396C0A300D0DA90866E117B44CCB1F7A684D4BFC3E3879
C04-L03,第四章 整式的加减,去括号与整式加减,运算技能课,output/lesson_plans_final/yaml/C04-L03_去括号与整式加减.yml,output/lesson_plans_final/tex/C04-L03_去括号与整式加减_教案_v2.tex,output/lesson_plans_final/pdf/C04-L03_去括号与整式加减_教案_v2.pdf,4,45,0,13,generated,0EFB6EFA9C7D120270C8E96B4053A6FC0B2D196ABB0CE599EF26EB9309674D35
C04-L04,第四章 整式的加减,整式加减数学活动,数学活动课,output/lesson_plans_final/yaml/C04-L04_整式加减数学活动.yml,output/lesson_plans_final/tex/C04-L04_整式加减数学活动_教案_v2.tex,output/lesson_plans_final/pdf/C04-L04_整式加减数学活动_教案_v2.pdf,4,45,0,13,generated,3D211A7A4ABC8778BCF57B7CD20FB4F9950229D2E08ADA2078F74680618A77D7
C04-L05,第四章 整式的加减,整式加减章末小结与复习,章末复习课,output/lesson_plans_final/yaml/C04-L05_整式加减章末小结与复习.yml,output/lesson_plans_final/tex/C04-L05_整式加减章末小结与复习_教案_v2.tex,output/lesson_plans_final/pdf/C04-L05_整式加减章末小结与复习_教案_v2.pdf,4,45,0,13,generated,F3CC3F63B388EAB2CE197FD45C62B69FD78CB511BBB9FC37FC93B185D12AFC5E
C05-L01,第五章 一元一次方程,从算式到方程,概念形成课,output/lesson_plans_final/yaml/C05-L01_从算式到方程.yml,output/lesson_plans_final/tex/C05-L01_从算式到方程_教案_v2.tex,output/lesson_plans_final/pdf/C05-L01_从算式到方程_教案_v2.pdf,4,45,0,13,generated,67944C97C954A454419F0AB51E3FF5E401E2BA0C4BDAB4D37ECA4DB2D61DCB31
C05-L02,第五章 一元一次方程,方程的解与一元一次方程,概念形成课,output/lesson_plans_final/yaml/C05-L02_方程的解与一元一次方程.yml,output/lesson_plans_final/tex/C05-L02_方程的解与一元一次方程_教案_v2.tex,output/lesson_plans_final/pdf/C05-L02_方程的解与一元一次方程_教案_v2.pdf,4,45,0,13,generated,3E487624C9343FC3CFFB0945EA019964D51A433021EB686D0885B9D7A129D0FC
C05-L03,第五章 一元一次方程,等式的性质,概念形成课,output/lesson_plans_final/yaml/C05-L03_等式的性质.yml,output/lesson_plans_final/tex/C05-L03_等式的性质_教案_v2.tex,output/lesson_plans_final/pdf/C05-L03_等式的性质_教案_v2.pdf,4,45,0,13,generated,909D509282618A4015E72F86EB7EF5D5A9EEA68EB2283CAD8955A76DDCCE761B
C05-L04,第五章 一元一次方程,合并同类项解一元一次方程,运算技能课,output/lesson_plans_final/yaml/C05-L04_合并同类项解一元一次方程.yml,output/lesson_plans_final/tex/C05-L04_合并同类项解一元一次方程_教案_v2.tex,output/lesson_plans_final/pdf/C05-L04_合并同类项解一元一次方程_教案_v2.pdf,4,45,0,13,generated,4CBFCB6FEE3DBAD9741B232B84347098ABE09AF82C0C74B55235A00F73B75C2A
C05-L05,第五章 一元一次方程,移项解一元一次方程,运算技能课,output/lesson_plans_final/yaml/C05-L05_移项解一元一次方程.yml,output/lesson_plans_final/tex/C05-L05_移项解一元一次方程_教案_v2.tex,output/lesson_plans_final/pdf/C05-L05_移项解一元一次方程_教案_v2.pdf,4,45,0,13,approved,68A435ADFD7B5920C37A44155AA92E43C3438778EE51790CA4F31414A164EAE2
C05-L06,第五章 一元一次方程,去括号解一元一次方程,运算技能课,output/lesson_plans_final/yaml/C05-L06_去括号解一元一次方程.yml,output/lesson_plans_final/tex/C05-L06_去括号解一元一次方程_教案_v2.tex,output/lesson_plans_final/pdf/C05-L06_去括号解一元一次方程_教案_v2.pdf,4,45,0,13,generated,F7678B28EBFA11FCF4629AA0AE7CDE50A745060AB560D7D757BBF124CA1449DF
C05-L07,第五章 一元一次方程,去分母解一元一次方程,运算技能课,output/lesson_plans_final/yaml/C05-L07_去分母解一元一次方程.yml,output/lesson_plans_final/tex/C05-L07_去分母解一元一次方程_教案_v2.tex,output/lesson_plans_final/pdf/C05-L07_去分母解一元一次方程_教案_v2.pdf,4,45,0,13,generated,DC279CA7654078721300387654ABB58B6D0FBEEAA137493A64102837C7B172D3
C05-L08,第五章 一元一次方程,实际问题与一元一次方程一,应用建模课,output/lesson_plans_final/yaml/C05-L08_实际问题与一元一次方程一.yml,output/lesson_plans_final/tex/C05-L08_实际问题与一元一次方程一_教案_v2.tex,output/lesson_plans_final/pdf/C05-L08_实际问题与一元一次方程一_教案_v2.pdf,4,45,0,13,generated,1CAAEA3460036541C05C10114D08E806E89318680578147B23ECC70FCE37772A
C05-L09,第五章 一元一次方程,实际问题与一元一次方程二,应用建模课,output/lesson_plans_final/yaml/C05-L09_实际问题与一元一次方程二.yml,output/lesson_plans_final/tex/C05-L09_实际问题与一元一次方程二_教案_v2.tex,output/lesson_plans_final/pdf/C05-L09_实际问题与一元一次方程二_教案_v2.pdf,4,45,0,13,generated,378A975A6F2215B0025563A4BA9CA250A2213F58AEF2E43FBDEF43C6517AB0DF
C05-L10,第五章 一元一次方程,一元一次方程数学活动,数学活动课,output/lesson_plans_final/yaml/C05-L10_一元一次方程数学活动.yml,output/lesson_plans_final/tex/C05-L10_一元一次方程数学活动_教案_v2.tex,output/lesson_plans_final/pdf/C05-L10_一元一次方程数学活动_教案_v2.pdf,4,45,0,13,generated,EBB96C98958101CF1911AA04A2250E5F6BB76DFAE07CE8DF93FBAD5E9E582667
C05-L11,第五章 一元一次方程,一元一次方程章末小结与复习,章末复习课,output/lesson_plans_final/yaml/C05-L11_一元一次方程章末小结与复习.yml,output/lesson_plans_final/tex/C05-L11_一元一次方程章末小结与复习_教案_v2.tex,output/lesson_plans_final/pdf/C05-L11_一元一次方程章末小结与复习_教案_v2.pdf,4,45,0,13,generated,E761F3A568592D6286121ECA6AA682F08F4331C746A292074046736FE85268A5
C06-L01,第六章 几何图形初步,立体图形与平面图形,几何探究课,output/lesson_plans_final/yaml/C06-L01_立体图形与平面图形.yml,output/lesson_plans_final/tex/C06-L01_立体图形与平面图形_教案_v2.tex,output/lesson_plans_final/pdf/C06-L01_立体图形与平面图形_教案_v2.pdf,4,45,1,13,generated,2BF412880B86865D0B87D616224FE1661CF6159CFB45024F639570AE8CE16E43
C06-L02,第六章 几何图形初步,点线面体,几何探究课,output/lesson_plans_final/yaml/C06-L02_点线面体.yml,output/lesson_plans_final/tex/C06-L02_点线面体_教案_v2.tex,output/lesson_plans_final/pdf/C06-L02_点线面体_教案_v2.pdf,4,45,1,13,generated,0580E8D76F06858A22A276C1D0AE2455A6DF340857F990AA1D421AE5C988C34D
C06-L03,第六章 几何图形初步,直线射线线段,几何探究课,output/lesson_plans_final/yaml/C06-L03_直线射线线段.yml,output/lesson_plans_final/tex/C06-L03_直线射线线段_教案_v2.tex,output/lesson_plans_final/pdf/C06-L03_直线射线线段_教案_v2.pdf,4,45,1,13,generated,325F92C254C2AC34C0A77D64303E0159991E602BA0BE8C04EE2B731008A26A5E
C06-L04,第六章 几何图形初步,线段的比较与基本事实,几何探究课,output/lesson_plans_final/yaml/C06-L04_线段的比较与基本事实.yml,output/lesson_plans_final/tex/C06-L04_线段的比较与基本事实_教案_v2.tex,output/lesson_plans_final/pdf/C06-L04_线段的比较与基本事实_教案_v2.pdf,4,45,1,13,generated,403558A57BBF04CEFC980D311EAC40509D51ECEFC2C30EC8441F702C72D93663
C06-L05,第六章 几何图形初步,线段的运算与中点,几何探究课,output/lesson_plans_final/yaml/C06-L05_线段的运算与中点.yml,output/lesson_plans_final/tex/C06-L05_线段的运算与中点_教案_v2.tex,output/lesson_plans_final/pdf/C06-L05_线段的运算与中点_教案_v2.pdf,4,45,1,13,generated,7019D2A5D834551CB065CE06715D5CBADEC8BC0D780CDAEA20DA72E3F8CF8792
C06-L06,第六章 几何图形初步,角的概念与度量,几何探究课,output/lesson_plans_final/yaml/C06-L06_角的概念与度量.yml,output/lesson_plans_final/tex/C06-L06_角的概念与度量_教案_v2.tex,output/lesson_plans_final/pdf/C06-L06_角的概念与度量_教案_v2.pdf,4,45,1,13,generated,EB2AEFE8A66CE2E7F2905FCD1E01E27E954D545454B57CA528CE3291DC2E0428
C06-L07,第六章 几何图形初步,角的比较与运算,几何探究课,output/lesson_plans_final/yaml/C06-L07_角的比较与运算.yml,output/lesson_plans_final/tex/C06-L07_角的比较与运算_教案_v2.tex,output/lesson_plans_final/pdf/C06-L07_角的比较与运算_教案_v2.pdf,4,45,4,16,approved,FCFC4DE162CFD88F25F3B3B468D86AB9AEB5933F4E874EADE09E34A7C84770D5
C06-L08,第六章 几何图形初步,余角和补角,几何探究课,output/lesson_plans_final/yaml/C06-L08_余角和补角.yml,output/lesson_plans_final/tex/C06-L08_余角和补角_教案_v2.tex,output/lesson_plans_final/pdf/C06-L08_余角和补角_教案_v2.pdf,4,45,1,13,generated,DDE77F327A5A66A06C6946C39ABCD758319B347856F0F2F6D5B9791192A0FAE5
C06-L09,第六章 几何图形初步,几何图形数学活动,数学活动课,output/lesson_plans_final/yaml/C06-L09_几何图形数学活动.yml,output/lesson_plans_final/tex/C06-L09_几何图形数学活动_教案_v2.tex,output/lesson_plans_final/pdf/C06-L09_几何图形数学活动_教案_v2.pdf,4,45,1,13,generated,043FBFDBF2ADE446FEFF1171F30A76328CAD256219D6CA4247DA0632A3D9FBCE
C06-L10,第六章 几何图形初步,几何图形初步章末小结与复习,章末复习课,output/lesson_plans_final/yaml/C06-L10_几何图形初步章末小结与复习.yml,output/lesson_plans_final/tex/C06-L10_几何图形初步章末小结与复习_教案_v2.tex,output/lesson_plans_final/pdf/C06-L10_几何图形初步章末小结与复习_教案_v2.pdf,4,45,1,13,generated,7CF315F1BB5F5504165147249765DA6E8AA0DFCBE78CAD8503BA55BF20904C85
C06-L11,第六章 几何图形初步,设计学校田径运动会比赛场地,综合实践课,output/lesson_plans_final/yaml/C06-L11_设计学校田径运动会比赛场地.yml,output/lesson_plans_final/tex/C06-L11_设计学校田径运动会比赛场地_教案_v2.tex,output/lesson_plans_final/pdf/C06-L11_设计学校田径运动会比赛场地_教案_v2.pdf,4,45,1,13,generated,4AEC5813F6F7EEADEA8C66D3630741B11924CA1064ED38D42F68FC92F4AFDB14
